question,answer
Up to what age can a baby stay well nourished by just being breastfed?,"Infants should be exclusively breastfed – i.e. receive only breast milk – for the first six months of life to achieve optimal growth, development and health. Exclusive breastfeeding is defined as giving no other food or drink – not
    even water – except breast milk. It does, however, allow the infant to receive oral rehydration salts (ORS), drops and syrups (vitamins, minerals and medicines). Breast milk is the ideal food for the healthy growth and development of infants;
    breastfeeding is also an integral part of the reproductive process with important implications for the health of mothers."
What is the source of these recommendations?,"These recommendations are made in the Global Strategy for Infant and 
Young Child Feeding, which was jointly developed by WHO and UNICEF in 
2003.The strategy is a guide for countries to develop policies 
and implement activities addressing feeding practices and the 
nutritional status, growth and health of infants and children. It is 
based both on the evidence that nutrition plays a crucial role in the 
early months and years of life, and on the importance of appropriate 
feeding practices in achieving optimal health.Lack of appropriate
 feeding in early childhood is a major risk factor for ill-health 
throughout the course of life. The life-long impact may include poor 
school performance, reduced productivity, impaired intellectual and 
social development, or chronic diseases."
When and how should a child transition to other foods?,"WHO recommends that infants start receiving complementary foods at 
six months (180 days) of age in addition to breast milk. Foods should be
 adequate, meaning that they provide sufficient energy, protein and 
micronutrients to meet a growing child's nutritional
    needs. Foods should be prepared and given in a safe manner to 
minimize the risk of contamination. Feeding young infants requires 
active care and stimulation to encourage the child to eat.The 
transition from exclusive breastfeeding to full use of family foods is a
 very vulnerable period. It is the time when many infants become 
malnourished, contributing significantly to the high prevalence of 
malnutrition in children under five years of
    age worldwide. It is essential therefore that infants receive 
appropriate, adequate and safe complementary foods to ensure the right 
transition from the breastfeeding period to the full use of family 
foods.Amounts of foods to offerAgeTextureFrequencyAmount at each meala6-8 monthsStart with thick porridge, well mashed foodsContinue with mashed family foods2–3 meals per day, plus frequent breastfeedsDepending on the child's appetite, 1–2 snacks may be offeredStart with 2–3 tablespoonfuls per feed, increasing gradually to ½ of a 250 ml cup9–11 monthsFinely chopped or mashed foods, and foods that baby can pick up3–4 meals per day, plus breastfeedsDepending on the child's appetite, 1–2 snacks may be offered½ of a 250 ml cup/bowl12–23 monthsFamily foods, chopped or mashed if necessary3–4 meals per day, plus breastfeedsDepending on the child's appetite, 1–2 snacks may be offered¾ to full 250 ml cup/bowla Note: If baby is not breastfed, give in addition: 1-2 cups of milk per day, and 1-2 extra meals per day."
What is Chagas disease?,"Chagas disease, also known as American trypanosomiasis, is a potentially life-threatening illness caused by the protozoan parasite, Trypanosoma cruzi or (T. cruzi).It is found mainly in 21 Latin American countries, where it is mostly vector-borne. The main vector involved in the transmission of the parasite to humans is a triatomine bug, also known as a ‘kissing bug’. An estimated 8 million people are infected worldwide, mostly in Latin America. Chagas disease is clinically curable if treatment is initiated at an early stage. Therefore universal access to prompt diagnosis and care is essential.Once totally confined to the Region of the Americas, Chagas disease has spread to other continents over the last century mainly because of enhanced means of travel and global population movement to and from Latin America.It is estimated that over 10 000 people die every year from clinical manifestations of Chagas disease, and more than 25 million people risk acquiring the disease.Vector control remains the most useful method to prevent infection. Blood screening is vital to avoid infection through transfusion and organ transplantation. Screening and diagnosis in pregnant women and their children are essential control measures.Chagas disease is named after Carlos Justiniano Chagas, a Brazilian doctor, who discovered the disease in 1909."
Who is the vector of Chagas disease?,"The Chagas disease vector is an insect of the Hemiptera order (adults have wings and fly), Reduviidae family and Triatominae subfamily (which feed on blood at all stages of their development) and mainly from the genera Triatoma, Panstrongylus and Rhodnius, but also from 12 other genera.In the Region of the Americas, Chagas disease is transmitted by several species of the triatomine bugs that typically live in the cracks of poorly constructed dwellings in rural areas and suburban slums in Latin America.The bugs hide during the day and emerge at night to feed on human blood, usually when people are asleep. Other infected triatomine bug species may be found in areas surrounding houses and in wild environments. Exchange of infection is therefore possible in such environment.Distribution of vectorsThe distribution of vectors and wild reservoirs of T. cruzi in the Americas extends from the United States of America to Argentina and Chile (latitudes 46°N to 46°S). Triatomine bugs have also been found outside the Region of the Americas, but up to now none of them have been found to be infected.More than 150 species of triatomine bugs and >100 species of mammals, mostly wild species, maintain T. cruzi infection in nature.With such a wide reservoir, Chagas disease is not eradicable.The vector was first described in 1773 by the Swedish scientist Charles De Geer, through the observation of an insect captured in the old so-called ""Indies"" (assumed to refer to the East Indies, probably Indonesia).Triatomine bug species with the capacity to transmit T. cruzi have been identified since the 18th century along maritime travel routes to parts of Africa, the Middle East, South-East Asia and the Western Pacific.Increased global population mobility increased the possibility of establishing vector transmission to areas where Chagas disease was previously non-endemic, especially in Asia, where the vector is naturally abundant, and even infest houses in large numbers."
How is Chagas disease transmitted?,"In the Region of the Americas, T. cruzi is mainly transmitted to humans through the infected faeces of the blood-sucking triatomine bug, which is the disease vector. This insect normally hides during the day and becomes active at night, when it feeds on human blood.In its search for a blood meal, the bug usually bites an exposed area of the skin (such as the face - hence its common English name, “kissing bug”).Right after its blood meal, it defecates close to the bite. The parasite, T.cruzi found in the faeces of the bug, is transmitted when the person rubs the area of the bite in an instinctive reaction to the itch (caused by the bite), thereby putting the faeces in contact with the bite.The parasite can also be transmitted when the parasite comes in contact with the mucous membrane of the eyes or mouth or through any other skin lesion.Transmission can occur through contaminated food infected with the vector’s faecal matter. This frequently generates oral outbreaks, especially in hot and humid climates.Other means of transmission involve transfusion of contaminated blood and from infected mothers to child during pregnancy or during delivery (congenital transmission). Less frequently, organ transplantation or laboratory accident can result in transmission.Outside the Region of the Americas, transmission does not occur through the faeces of the infected vector, but rather through non-vectorial routes.Cases of infection outside Latin America have been reported among travellers returning from endemic regions, adopted children and migrants.Globalisation and increased international travel and trade between endemic and non-endemic countries make Chagas Diseases a growing concern at the global level."
What are the symptoms of Chagas disease?,"Chagas disease has two successive phases: an acute phase and a chronic phase.Most acute phases are asymptomatic or have non-specific symptoms.During the chronic phase patients may also be symptom-free but some may progress to clinical forms of the disease (cardiac, digestive and/or neurological), which can be life threatening if left undiagnosed and untreated.Initial acute phaseThe initial acute phase lasts for about two months after infection. During this phase, a high number of parasites circulate in the blood. In most cases, symptoms are absent or mild, but may include fever, headache, enlarged lymph glands, pallor, muscle pain, cough, difficulty in breathing, liver enlargement , generalized body swelling, diarrhoea, heart inflammation (with chest pain and even heart failure) and, less frequently, meningoencephalitis (with seizures and even paralysis).In less than 50% of people bitten by a triatomine bug, characteristic first visible signs can be a skin lesion (chagoma) or a purplish swelling of the lids of one eye (Romaña sign).The acute phase can occur at any age but is frequently more severe in children aged <2 years, the ederly and in people who are immunosuppressed or in individuals infected with a high number of parasites. Meningoencephalitis is the most frequent manifestion in people suffering from AIDS.Chronic phaseThe acute phase is followed by the chronic phase, during which parasites are hidden mainly in the heart and digestive muscle.Different clinical forms may be observed:the indeterminate form, the most frequent form, asymptomatic and without apparent signs of disease, is typically found immediately after the acute phase and is life-long in most patients;the cardiac form occurs in up to a third of patients, affecting the heart’s electrical conduction system, causing arrhythmia, heart muscle disorder, heart failure and embolisms;the digestive form (generally enlargement of the oesophagus and/or the colon), observed in the South of the Amazon basin, ora mixed form that affects the heart, the digestive system and the autonomic nervous system occurs in ≤15% of patients.Depending on cardiac damage, the mortality rate in a period of 10 years may range from 9 to 85%. Patients usually die, by frequency order, from sudden death caused by arrhythmias, heart failure and vascular cerebral accident, often in early adult life."
How is Chagas disease diagnosed?,"During the acute phase or during reactivation because of immunosuppression (which can be caused by old age, radiation, chemotherapy or AIDS), diagnosis is made by direct detection of the parasite circulating in the bloodstream. To this end a blood wet smear or a blood concentration technique such as microhaematocrit or Strout technique, must be used.Stained preparations, such as malaria films, detect the parasites when parasitaemia is high (acute phase). In the Amazon Basin, microscopy technicians who diagnose malaria have been trained to detect acute individual cases of Chagas disease and, through them, identify possible foodborne outbreaks.During the chronic phase, when the parasite is hidden in target tissues, diagnosis is made via the detection of antibodies against T. cruzi (serological techniques) using serological tests. Some of the most frequently used techniques are: enzyme-linked immunosorbent assay (ELISA), indirect haemagglutination assay, indirect immunofluorescence assay, western blot and rapid diagnostic tests such as immunochromatography.For strict research purposes, molecular tests (qualitative and quantitative polymerase chain reaction) and parasitological tests (haemoculture and xenodiagnosis – with examination of the faeces of uninfected triatomine bugs that have fed from an infected patient’s blood) may also be used."
What is the treatment against Chagas disease?,"Treatment is urgently indicated for anyone during the acute phase and for those in whom the infection has been reactivated (immunosuppression). In these situations, treatment is almost 100% effective, and the disease can be completely cured.However, efficacy decreases as the duration of the infection lengthens. Moreover, infants are less likely to have adverse events from treatment but this risk increases with age.Treatment is also indicated for infants with congenital infection and for patients during the early chronic phase.Adults, especially those with the indeterminate form of the disease, should be offered treatment, but its potential benefits in preventing or delaying the development of Chagas disease should be weighed against the long duration and frequent adverse events.During the late chronic phase, when cardiac or digestive manifestations may occur, additional lifelong medical treatment and surgery are usually indicated.As described earlier, the two medicines used for treatment are benznidazole, often the first-line treatment in most countries; and, nifurtimox. The main contraindications to treatment are pregnancy and kidney or liver failure. Nifurtimox is contraindicated in patients with a history of psychiatric or neurological disorders.Nifurtimox is free of charge through WHO-Bayer agreement.For ordering, please contact :Albajar Viñas P., Tel.:+41 22 791 1261,[email protected];Jourdan S., Tel.:+41 22 791 2498, [email protected];Akintunde D., Tel: +41 22 791 1084, [email protected].Benznidazole is produced by Laboratorio ELEA S.A.C.I.F.yA.,Sanabria 2353, C1417AZE, Ciudad de Buenos Aires,Argentina,Tel.: +54-11-43794300,Neglected Diseases Department,[email protected] and/or http://www.elea.com/en/contacto"
How to prevent Chagas disease?,"There is no vaccine to prevent Chagas disease.However, the following prevention and control tools are useful depending on the geographical area(s) affected:insecticide spraying of houses and surrounding areas;home improvements to prevent vector infestation (such as plastering walls, and installing concrete floors and corrugated iron roofs);good hygiene practices in food preparation, transportation, storage and consumption;personal preventive measures such as bednets;screening of blood donors;testing of organ, tissue and cell donors and receivers;observance of the standard safety protocols (wearing laboratory coats, gloves, face masks, caps and glasses) for laboratory accidents preventionAdditionally, key tools of congenital transmission control are the screening of infected pregnant women and the early detection of possible infection in neonates (secondary prevention) and their siblings to provide early diagnosis and treatment.The diagnosis of an infected newborn can be made at birth by detecting parasites directly in the umbilical cord or venous blood of the baby or when the infant is aged 8 months by detecting antibodies against T. cruzi.In areas where malaria is also transmitted, a system of surveillance for Chagas disease has been recently implemented. Malaria microscopy technicians have been trained to identify T. cruzi parasites in malaria films and detect acute Chagas disease in individual cases. Through them, possible foodborne outbreaks and active transmission areas for the disease may be also detected and controlled."
Why are Chagas disease diagnosis indexes low?,"The present low diagnosis indexes are strongly related to psychosocial rather than biomedical challenges. Among others, the following are well described determinants:Stigma - Forgotten disease or forgotten population? (Pinto Dias)For a long time, Chagas disease was a strictly found in rural areas, plaguing only certain regions of the countryside, usually characterized by poverty and exclusion.To many, Chagas disease symbolises much more than an illness, almost always associated with poverty in rural areas and impoverished house infested with triatomine bugs.Although the epidemiology of Chagas disease has changed because of migration and globalization, it is still associated with the poverty-stricken hut. Today, the disease is found in cities but the social stigma associated with infection remains strong.The social consequences of stigma can be extremely severe; indeed, infection with T. cruzi can lead to social rejection. Infection can also mean work restriction because its association with poor health and potential difficulties in performing work, and even sudden death, creating a fear of financial losses by employers. For these reasons many people are reluctant to seek screening and medical help, which can lead to more serious complications and further spread of the disease.Emotional Burden of Chagas DiseaseStudies have shown that local communities in endemic countries do not have a clear understanding of Chagas disease. Instead people in rural areas merge preconceptions, forging an overall mixed and incorrect concept of the disease, its origin and consequences.For many, Chagas disease is not necessarily associated with its vector or its symptoms, but more with feelings of despair, fear of death and suffering.This negative approach drastically affects health-seeking behaviour as people develop adaptive behaviours, such as refusing to get screened thereby compromising both treatment and diagnosis.Chagas disease diagnosis in non-endemic countriesGlobalisation has led to a rise in awareness about Chagas disease as an emerging issue in non-endemic regions.However, many practitioners in non-endemic countries still consider Chagas disease to be a tropical illness restricted to Latin America, and this assumption causes many misdiagnoses when presented with cardiomyopathies or other clinical manifestations of the disease.Similarly, patients infected with T.cruzi in non-endemic countries may not be aware of their condition which can lead to further transmission through blood and organs donation, for instance.Training health personnel to facilitate diagnosis and provide medical care can greatly help to mitigate transmission and improve prognosis.Regulatory practices in some countries require people applying for employment to go through a compulsory T.cruzi serology. Although the aim is to protect patients with Chagas disease, this practice has resulted in discrimination against infected individuals., causing instead, hindrance and stigmatization.Lack of understanding and knowledge of the disease, along with incorrect beliefs, are clear obstacles to promoting health-seeking behaviour."
What is chronic obstructive pulmonary disease (COPD)?,"Although relatively few people have heard of it, chronic 
obstructive pulmonary disease (COPD) kills on average one person every 
10 seconds.
		COPD is not one single disease but an umbrella term used to 
describe chronic lung diseases that cause limitations in lung airflow. 
It is not a simple smoker's cough, but an under-diagnosed, life 
threatening lung disease. The most common symptoms of COPD are 
breathlessness, or a 'need for air', excessive sputum production, and a 
chronic cough. Daily activities, such as walking up a short flight of 
stairs, may become very difficult as the disease worsens. COPD is preventable, but not curable. Treatment can help slow 
disease progression, but COPD generally worsens slowly over time.  
Because of this, it is most frequently diagnosed in people aged 40 years
 or older. Chronic bronchitis and emphysema are terms that are no longer
 used and are now included within the COPD diagnosis.According to WHO estimates, 64 million people have COPD and 3 
million people died of COPD in 2004. Total deaths from COPD are 
projected to increase in the next 20 years, making it the third leading 
cause of death in the world unless urgent action is taken to reduce 
underlying risk factors, especially tobacco use and air pollution."
What can I do to avoid a heart attack or a stroke?,"WHO estimates that more than 17.5 million people died of 
cardiovascular diseases such as heart attack or stroke in 2012. Contrary
 to popular belief, more than 3 out of 4 of these deaths occurred in 
low- and middle-income countries, and men and women were equally 
affected.
		The good news, however, is that 80% of premature heart attacks
 and strokes are preventable. Healthy diet, regular physical activity, 
and not using tobacco products are the keys to prevention. Checking and 
controlling risk factors for heart disease and stroke such as high blood
 pressure, high cholesterol and high blood sugar or diabetes is also 
very important.Eat a healthy diet: A balanced diet is crucial to a 
healthy heart and circulation system. This should include plenty of 
fruit and vegetables, whole grains, lean meat, fish and pulses with 
restricted salt, sugar and fat intake. Alcohol should also be used in 
moderation.Take regular physical activity: At least 30 minutes of 
regular physical activity every day helps to maintain cardiovascular 
fitness; at least 60 minutes on most days of the week helps to maintain 
healthy weight.Avoid tobacco use: Tobacco in every form is very 
harmful to health - cigarettes, cigars, pipes, or chewable tobacco. 
Exposure to second-hand tobacco smoke is also dangerous. The risk of 
heart attack and stroke starts to drop immediately after a person stops 
using tobacco products, and can drop by as much as half after 1 year.Check and control your overall cardiovascular risk: An 
important aspect of preventing heart attacks and strokes is by providing
 treatment and counselling to individuals at high risk (those with a 10 
year cardiovascular risk equal to or above 30%) and reducing their 
cardiovascular risk. A health worker can estimate your cardiovascular 
risk using simple risk charts and provide the appropriate advice for 
managing your risk factors.Know your blood pressure: High blood pressure usually has 
no symptoms, but is one of the biggest causes of sudden stroke or heart 
attack. Have your blood pressure checked and know your numbers. If it is
 high, you will need to change your lifestyle to incorporate a healthy 
diet with less salt intake and increase physical activity, and may need 
medications to control your blood pressure.Know your blood lipids: Raised blood cholesterol and 
abnormal blood lipids increase the risk of heart attacks and strokes. 
Blood cholesterol needs to be controlled through a healthy diet and, if 
necessary, by appropriate medications.Know your blood sugar: Raised blood glucose (diabetes) 
increases the risk of heart attacks and strokes. If you have diabetes it
 is very important to control your blood pressure and blood sugar to 
minimize the risk."
Will the standards be applicable to all children?,"The standards describe normal child growth from birth to 5 years under optimal environmental conditions and can be applied to all children everywhere, regardless of ethnicity, socioeconomic status and type of feeding."
What reference data should be used for children older than 5 years?,"Please see “WHO Reference 2007 for boys and girls, 5-19 years at https://www.who.int/growthref/en/."
Why are new standards needed?,"Since the late 1970s, the National Center for Health Statistics (NCHS)/WHO growth reference has been in use which describes how children grow in a particular region and time. This reference was based on data from several samples of children from a single
    country and suffers from a number of technical and biological drawbacks that make it inadequate to monitor the rapid and changing rate of early childhood growth.Under the leadership of WHO, the United Nations in 1993 undertook a comprehensive review of the uses and interpretation of child growth references. The review concluded that it was time to develop new standards that show how children should grow in all
    countries rather than merely describing how they grew at a particular time and place.Following this review, in 1994, the World Health Assembly (WHA) endorsed the development of a new set of tools to assess infant and young child growth. The Assembly stressed the need to move beyond past approaches and toward the more desirable goal of
    describing how all children should grow when their needs are met.In setting this ambitious goal, WHO and its principal partner, the United Nations University, in collaboration with a number of academic institutions worldwide, undertook the Multicentre Growth Reference Study (MGRS), a community-based, multi-country
    project to develop new growth standards for infants and young children.The study involved the recruitment of children who met a number of health criteria in 6 countries representing different regions of the world: Brazil, Ghana, India, Norway, Oman, and the United States. The 8,440 children included in the study were raised
    in environments that minimized constraints to growth such as poor diets and infection. In addition, their mothers followed health practices such as breastfeeding their children and not smoking during and after pregnancy."
How different are the new standards from the old growth charts?,"The new standards differ from any existing growth charts in a number of innovative ways. First, the MGRS was designed to provide data that describe “how children should grow,” by including in the study’s selection criteria specific health
    behaviours that are consistent with current health promotion recommendations (e.g., breastfeeding norms, standard pediatric care, non-smoking requirements). This new approach is fundamentally different from that taken by the traditional descriptive references. By adopting a prescriptive approach, the protocol’s design went beyond an update of how children in presumably healthy populations grow at a
    specific time and place and explicitly recognize the need for standards (i.e., devices that enable value judgments by incorporating norms or targets in their construction). Arguably, the current obesity epidemic in many developed countries would
    have been detectable earlier if a prescriptive international standard had been available 20 years ago.Another key characteristic of the new standard is that it makes breastfeeding the biological “norm” and establishes the breastfed infant as the normative growth model. The previous reference was based on the growth of artificially-fed children.The pooled sample from the 6 participating countries will allow the development of a truly international standard (in contrast to the previous international reference based on children from a single country) and reiterate the fact that child populations
    grow similarly across the world’s major regions when their needs for health and care are met.These standards also include new innovative growth indicators beyond height and weight that are particularly useful for monitoring the increasing epidemic of childhood obesity, such as the skinfold thickness. The study’s longitudinal nature will also allow the development of growth velocity standards. Health care providers will not have to wait until children cross an attained growth threshold to make the diagnosis of under-nutrition and overweight since
    velocity standards will enable the early identification of children in the process of becoming under- or over-nourished. Lastly, the development of accompanying windows of achievement for six key motor development milestones will provide a unique link between physical growth and motor development."
Do these new standards change current estimates of overweight and undernutrition in children?,"Yes, estimates are going to change because of differences in the pattern of growth between the new standards and the old reference, especially during infancy. The magnitude of the change in the estimates however will vary by age, sex, growth indicator,
    and the underlying nutritional status in the population being evaluated.A notable effect is that stunting (low height for age) will be greater throughout childhood when assessed using the new WHO standards compared to the previous international reference. There will be a substantial increase in underweight rates during the first half of infancy (i.e., 0-6 months) and a decrease thereafter. For wasting (low weight for length/height), the main difference between the new standards and the old reference is during infancy (i.e., up to about 70 cm length) when wasting rates will be substantially higher using the new WHO standards. With respect
    to overweight, use of the new WHO standards will result in a greater prevalence that will vary by age, sex and nutritional status of the index population."
What needs to be done/addressed/changed/improved so that all children grow well according to these standards?,"Breastfeeding should be supported, protected, and promoted. For the first 6 months, mothers need to be informed and empowered to practice exclusive breastfeeding. Children should be provided safe, wholesome, and nutritionally appropriate foods during the period of complementary feeding and after the second year when breastfeeding has ceased. Sound nutritional practices are important throughout childhood.      Appropriate national guidelines should be developed to aid caregivers in choosing nutritious local foods incorrect combinations and amounts to feed their children in order to maintain optimal growth in later childhood      (the aim being to avoid both nutritional deficiencies and excesses).Vaccinations and good health care should be available and accessible to all infants and young children. Families and their communities should do all they can to ensure that mothers have a good pregnancy.Nationally, full implementation of the objectives of the Global Strategy for Infant and Young Child Feeding (2002) would go a long way in creating supportive environments for mothers to breastfeed their children. The new standard can help stimulate change that facilitates these improvements. Therefore, the very first step should be implementing the new standard in every country and ensuring that every child has his/her own chart against which his/her growth is assessed followed by an appropriate follow-up."
Which cut-offs should we use for defining obesity risk in children?,"Please seeM. de Onis, T Lobstein. Defining obesity risk status in the general childhood population: Which cut-offs should we use? International Journal of Pediatric Obesity 2010;5:458-60."
Is harmful use of alcohol a public health problem?,"Yes, the harmful use of alcohol is an important public health problem. It impacts people and societies in many ways. 
		It is well known that there is a causal relationship  between 
alcohol consumption and a range of mental and behavioural disorders, 
including alcohol dependence, other noncommunicable conditions such as 
liver diseases, some cancers, cardiovascular diseases, as well as  
injuries resulting from violence and road accidents. Furthermore, there 
are causal relationships between harmful use of alcohol and incidence of
 infectious diseases such as tuberculosis and pneumonia, as well as the 
course of HIV/AIDS. More than this, harmful use of alcohol creates 
considerable negative health and social consequences for people other 
than the drinker.

Current estimates of alcohol-related diseases only partly 
reveal the impact of harmful alcohol use. Accumulating evidence suggests
 a link between harmful use of alcohol and such infectious diseases as 
HIV/AIDS and tuberculosis. Such relationships have to be proven and 
quantified before global burden of disease estimates attributable to 
alcohol can be adjusted accordingly. Harmful use of alcohol is a causal factor in more than 200 
diseases and injuries. In 2012, 5.1% of the global disease burden was 
due to the harmful use of alcohol, and an estimated 3.3 million people 
died  from alcohol related conditions that year.  
Beyond health consequences, the harmful use of alcohol brings 
significant social and economic losses to individuals and society at 
large. In countries with lower economic wealth the morbidity and 
mortality risks are higher per litre of pure alcohol consumed than in 
the higher income countries."
What are SLCPs?,"Short-lived climate pollutants (SLCPs), found in ambient (outdoor) and household air pollution, produce strong climate change effects but only remain in the atmosphere briefly –for a few days to about a decade. The short life span of SLCPs means that assertive action now to reduce emissions can rapidly improve both air quality as well as slowing the rate of near-term climate change.The main SLCPs of direct concern to health include black carbon (or ‘soot’), methane and ozone, which all contribute to both health-harmful air pollution and global warming. . Black carbon (BC) makes up a significant portion of fine particulate matter, the air pollutant most associated with premature death and morbidity. Ozone has significant adverse impacts on respiratory health, and methane contributes to ozone formation. Mitigation experts believe that firm actions reducing SLCP emissions could slow the pace of climate change by as much as .5⁰ C over the next few decades. Even so, it is important to note that SLCP reduction measures complement, but do not replace, the actions needed to reduce longer-lived CO2 emissions for climate stabilization."
Where do these pollutants come from?,"Open fires, (including wildfires, deliberate forest/brush burning, and burning of urban and crop waste), comprise the largest single source of black carbon emissions. Fuel combustion in residential and commercial buildings, as well as transport, account for approximately 80% of black carbon emissions from human activities related to energy production and use. Emissions from diesel, biomass and kerosene combustion are among the sources with the heaviest black carbon concentrations, and accordingly have been identified as priority sources for reducing emissions that contribute to near-term climate change.Particulate emissions from other sources, such as coal-fired power plants, are also a source of black carbon emissions, but here BC is co-emitted with other pollutants that have a climate “cooling” effect so that mitigation in this sector would have less of an impact on near-term climate change. In health terms, however, mitigation efforts that reduce fine particulates from other sources can, of course, be beneficial, and may also may reduce CO2 and thus longer term climate change.Ozone is not emitted directly but develops when a number of “precursor” pollution emissions interact in the presence of sunlight. Precursor emissions often include; methane, oxides of nitrogen, volatile organic compounds, and carbon monoxide. Ozone is the second SLCP that causes adverse respiratory effects, with impacts ranging from changes in lung function and increased incidence of asthma to premature mortality. Methane is a powerful SLCP in and of itself, mainly produced from the agriculture sector, including livestock production, waste sector, and as a byproduct of fossil fuel extraction and distribution. Methane emissions impact on health through their role in ozone formation."
What is the impact of SCLPs on health?,"Since SLCPs contribute to ambient levels of ozone and PM2.5, SCLP emissions are directly associated with cardiovascular and respiratory diseases, including heart disease, pulmonary disease, respiratory infections and lung cancer. SLCP emissions thus contribute significantly to the more than 7 million premature deaths annually linked to air pollution.Indirectly, the SLCPs ozone and black carbon reduce plant photosynthesis and growth, thus decreasing agricultural yields, which in turn threatens food security. They also affect weather patterns and the melting of snow and ice, which may harm and endanger health through extreme weather events such as floods."
Can SLCP emissions be reduced?,"Yes, SLCPs are emitted from a variety of sources in the transport, agriculture, waste management, residential and industrial sectors, so there a range of mitigation opportunities that exist that can be highly beneficial for health. In fact, addressing SLCPs has distinct advantages insofar as health benefits from many measures can be enjoyed in the near term, and along with slowing the rate of near-term climate change, measures can be very complementary with longer-term CO2 emissions reductions required to reduce long-term climate change. So these are ‘win-win’ policies for the health, environment and climate sectors."
What are the mitigation actions?,"The report covers many different strategies, providing indicative “ratings” of potential health and SLCP mitigation benefits for 19. The CO2 reduction potential of the same strategies was also considered, since SLCP mitigation is seen as complementary to mitigation of CO2 emissions required to stabilize climate and ensure the health of future generations. Four strategies were identified which appear to have the largest aggregate potential for health and SLCP mitigation benefits as well as reducing CO2.Policies and investments that prioritize dedicated rapid transit and walking and cycling networks in compact cities can promote health in multiple ways, including reduced air pollution exposures, reduced injury risks and greater opportunities for safe active travel.Encouraging healthier diets rich in plant-based foods and low in red and processed meats among affluent populations at risk of a range of diet-related noncommunicable diseases will have a positive effect on health and will also reduce emissions.Provide and promote the use of clean and efficient cook-stoves and fuels, and cleaner energy sources, to the approximately 2.8 billion low-income households that currently rely on solid fuels for heating and cooking.Reducing vehicle emissions of both particulate matter as well as ozone precursors (e.g. NO2) by implementing stricter vehicle and fuel emissions and efficiency standards.Along with these four, however, many other SLCP measures identified in this report are also very beneficial to health. Examples include improved waste management strategies, more energy efficient homes and buildings, phasing out kerosene lamps and greater reliance on clean light and power sources, using including renewable energy, for homes and health clinics, cleaner brick industries and coke ovens, etc. Measures outlined can reduce many other types of health risks, ranging from: housing related diseases associated with exposure to extreme heat, cold or damp; sanitation-related diseases; air pollution from kerosene and generator fumes; work-related diseases, and so on.. These approaches are also discussed in detail, by sector."
In what ways will reducing emissions be beneficial for health?,"In summary, there are three key ways in which reducing emissions of SLCPs can provide health benefits:directly, it will reduce air pollution exposures and related diseases;indirectly, the negative effects that ozone and black carbon have on weather and food production, which affect food security, will be reduced;As a result of certain SLCP mitigation actions, such as improved transport systems, healthier diets, or better waste management, there other health benefits may also be obtained, such as improved chances for physical activity, less risk of traffic injury, reduced risks of diet-related chronic diseases, or reduced exposure to waste and sanitation-related health risks."
Why should we act now?,"There is increasing evidence that direct exposure to certain SLCPs is associated with ill-health. As their name indicates, SLCPs have a short life-span in the atmosphere, which means that once emissions are reduced they disappear relatively quickly and health benefits begin to occur soon after and in some cases almost immediately. Another important feature is that benefits will occur near where mitigation takes place, directly benefitting the health of communities. Therefore, controlling emissions of these SLCPs or their precursors could save lives through improved air quality, reduce expected warming by .5⁰C or more over the next few decades and contribute to food security."
Why is it important for policymakers?,"Health benefits from SLCP mitigation measures in the communities where actions are taken and in the near-term, making them particularly attractive from a policy standpoint.Mitigation measures are highly compatible with the immediate development priorities of local and national policymakers since they reduce harmful air pollution, make cities healthier and more attractive to live and work, and also provide greater opportunities for healthier lifestyles.The short lifespan of SLCPs means that once emissions are reduced, benefits begin to occur very soon after actions are taken."
What can I do?,"Some simple lifestyle choices coming from individuals can have potential benefits for reducing emissions and contributing to better health. Although policy decisions make up a big part for mitigation actions, the choices we make on what we eat, how we travel, and the energy sources we use, for example, choosing to take public transport over private cars and being active by walking or cycling will contribute to the reduction of emissions and noise pollution while increasing health and well-being."
What else is being addressed?,"There are other benefits of reducing SLCP emissions. Aside from the large benefits for public health, many of the health-enhancing strategies for reducing SLCP emissions can also lead to substantial co-reductions in CO2 emissions and therefore, help mitigate both near- and long-term climate change."
"What is this report on ""Personal interventions and risk communication on air pollution"" about ?","This report presents the results of an expert consultation whose objectives were to review and
assess the current scientific evidence on questions related to protection measures that individuals can take (or so-called personal interventions) to reduce their exposure to air pollution. Such
measures include wearing respirators, using indoor portable air filters (cleaners) or avoiding certain places and limiting activities or exercising in an environment with high levels of air pollution. It
was agreed, however, that these measures are the least desirable choice in the hierarchy of interventions - the most preferred being public policies aiming at reducing emissions. The report also
discusses the communication challenges associated to information related to air pollution and health
impacts, such as air pollution sources, Air Quality Index (AQI), and the role of medical societies."
What should policy makers do to protect citizen from air pollution?,"The best way to protect people from the harmful effects of air pollution is to bring concentrations of air pollutants down to those recommended by the WHO Air Quality Guidelines, through
pollutant emission monitoring, land-use and urban planning, and sustainable consumption.

Policy makers and citizens need to know the sources of air pollutants and their contributions to air
pollution in each location, and this information should guide effective emission control strategies.
One of the most significant pollutants, particulate matter (PM2.5), can originate from a wide range
of sources and can be spread over several hundreds of kilometres, illustrating the importance of
national and regional cooperation to recognizing and addressing the specific sources and combatting air pollution efficiently."
